"Long","Dim","Rep","Conteo","Conteo_std"
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",4,0.4
10,1,"No_Rep_ 250",4,0.4
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",5,0.5
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",4,0.4
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",4,0.4
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",5,0.5
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",3,0.3
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",1,0.1
10,1,"No_Rep_ 250",0,0
10,1,"No_Rep_ 250",2,0.2
10,1,"No_Rep_ 250",1,0.1
