"Tamaño 50000","Tamaño 5e+05"
"1",0.0488449799231895,0.0488195518722514
"2",0.0488104852358531,0.0488162594831504
"3",0.0488363719593187,0.0487953427592628
"4",0.0488351781541103,0.0488321119596804
"5",0.0488938631048794,0.0488093228465713
"6",0.048929425933718,0.048863521603031
"7",0.0488845011587717,0.0488552466479815
"8",0.0487949657681444,0.0488444709851796
"9",0.0488548445241218,0.0488686109831298
"10",0.0487889967421026,0.0488614795678062
"11",0.0487305002868927,0.0488139661205133
"12",0.048902282573191,0.0488243270930848
"13",0.0488326020481344,0.0488289075351738
"14",0.0488637038154049,0.0488355614284141
"15",0.0488826790350326,0.0488354483310785
"16",0.0488364976230248,0.0488297871811168
"17",0.0487357153306977,0.0488216755888852
"18",0.0488027569179253,0.0488076326697237
"19",0.0488878940788376,0.048848159214955
"20",0.0488915383263157,0.0488233092170651
"21",0.0488424038172136,0.0488075321387587
"22",0.0487643038238453,0.0488414487730469
"23",0.0489237082350885,0.0488203121376735
"24",0.0489563179668328,0.048864319567565
"25",0.0488673480628831,0.0488376097468242
"26",0.0488620701872251,0.0488202555890058
"27",0.0488187790404586,0.0488273618715882
"28",0.0488706153192428,0.0488295861191869
"29",0.0489152259349238,0.0488277514290772
"30",0.0487936462992299,0.048807783466171
"31",0.0487215153319034,0.0488439808967257
"32",0.0488510117810844,0.0488473675336063
"33",0.0488444144365119,0.0488140352355517
"34",0.048753496745117,0.0488279210750805
"35",0.0487938976266422,0.048834618950618
"36",0.0488384454104701,0.0488329350569557
"37",0.0488200985093731,0.0488219394826681
"38",0.0488953710693531,0.048852802488897
"39",0.0488643321339356,0.0488496985953552
"40",0.0488400162067969,0.0488232086861002
"41",0.0489385365524134,0.0488446092152564
"42",0.0488928577952302,0.048824760632871
"43",0.0488917268218749,0.0488385773573615
"44",0.0487831533797669,0.0488364536407277
"45",0.0488228002790552,0.0488053518734572
"46",0.0488354923133757,0.0488513699226469
"47",0.0488938631048794,0.0488540088604759
"48",0.0487916985117846,0.0487984340864339
"49",0.048846236560251,0.0488568802761613
"50",0.0488495666484638,0.0488244904559028
